,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2385,MASTER,oJac_zJEUo4YPb5-bLHcn5Y_ANb6WEgoIw2qnVA5F_T1,Mystr is back,534,678,660,False,False,False,True
2386,MASTER,-Mzbp3qe6K1GRyQvnuTKxHPlRuMJka5xUqvfKEwgbGU2y7Y,RRRRRANK 1 SHACO,331,119,87,False,False,False,False
2387,MASTER,3e2D9QCeQ1AmfY_UF0Xln6k_-LVPjM54LqcdLsiwmyV86ws,Lose to learn,529,234,205,False,False,False,False
2388,MASTER,o0QIfMwr6e4ugGVO1GMmScyj4KtTUlqMc4Oj3svxoSAtJA,alesekihg,502,997,923,True,False,False,False
2389,MASTER,vwIQ17hmRLUX_5kRoVQVLlpvi8XMpRzuPRl2Nfv4Kt1_CQ,giyeo,296,186,166,False,False,True,False
2390,MASTER,f5gQMvoBr7V7CUY33YBB8pbLqMa9opkbOvMH-jXYAGUL,ThanksWHF,492,162,127,True,False,False,False
2391,MASTER,WLJYSjKc8ZppsKgCE7UfPVzIDdV590jOtPHyAvGW0mZgjO4,boy de puy,507,258,228,True,False,False,False
2392,MASTER,7pseeAQwnxjkYACxl6w2-eUVtpFpm4ScUSqNX6jGVwCshA,Buff Shaco,640,319,292,False,False,False,True
2393,MASTER,IXKMXw_vvusjpF82SQHwucb1Bi5kz73yj1KNQhQjSdjHOEY,Tirano Seus PDL,475,336,301,True,False,False,False
2394,MASTER,UwdpCLbOm8uOHwfx0pzov_PPAy9CUYlswmt7jpoml12vSQ,InoueLOL,509,309,296,False,False,False,False
2395,MASTER,69DvQFc4hzz2v_k0s28BuYITgxFKpG_2VLsX-88nwdOjAg,Jeanzada1,345,725,674,False,False,False,False
2396,MASTER,YEIyPhzz8u2YvQP971POX6GugLlN8kdXCyKhgUFNsdHMRQ,nukan,328,353,308,False,False,False,False
2397,MASTER,3eXbhlLOeJn-t_Zaf_033TSnRQzT6oLcVDJLC32yb1HC4RE,FgT,334,335,287,False,False,False,False
2398,MASTER,-H_c4FLg7hcDvvE0Eg0dyKQAK8DGK0x1RSRoP-BRYf1NyxY,Copy,434,132,46,False,False,True,False
2399,MASTER,VUMzAYnwk43pCpHH9rMmSPgCx6AgJ-faD7qdEksy5PrZ_A,Blaine McDonnagh,326,173,142,False,False,True,False
2400,MASTER,IY7JmEvYdIzkSOVJFfQqvK9-AF_VoyRIlilesCZL92V6Zg,Brunaldo,288,390,366,False,False,True,True
2401,MASTER,QvLd8zSTLCkQG8oTDOUyLSezT9XiRHHucJVTQVFVk0Yq,Loop,576,652,628,False,False,False,False
2402,MASTER,mCFcKhW3Xi3vbEUYPbo78nDcz60d4zW6JX_F6ypX6UdWjpk,clarkken,459,450,424,True,False,False,False
2403,MASTER,nFNfVynwKOEhVh6Fm_3jdW3pAMxQT94qj9TI9S8fLM_u,Mandioquinhaa,414,469,410,False,False,False,False
2404,MASTER,b_xL-q01lf0H_WS4vfK--Psnq5Q4lF1MXDNIzv1jMjk7sq4,Nyss1,478,327,302,True,False,False,False
2405,MASTER,xd7chA7Js-LGb-hUtIobeLs2tAfMTPQ7zbLpg9et40Iz,TheNinja,487,63,33,False,False,False,False
2406,MASTER,bh87-5yIuhhisueO1aNTT51CHVWUGk-_JuM6QmWz_77wnQ,ThayT ,377,363,337,True,False,False,False
2407,MASTER,04Wp1V40v4CGt4iC0mk8PLHmqA2YZmNAJGkByF5EwpQkOg,wild Unicorn,340,181,148,False,False,False,False
2408,MASTER,xeaXLTvd1MoMMoFlM3hdfCcuYG49abweP_qqSPzKqb8Loz4,xvxcxvxvxz,380,445,431,False,False,True,False
2409,MASTER,HfVhbg1MLxbQdgYXr7B5tPY6-xMSVG7Yiy_ktcobC2w1yw,Sun Fire Rx,411,282,232,False,False,False,False
2410,MASTER,buPJSK6RJK6byonTtO0irajFnLrPy0fk8SYSjb2ZNqEwRQ,ZAC 360,620,362,279,False,False,False,False
2411,MASTER,BVRU_AuWbXY0O97oNDOXDQO2Z2WEhIxSdpIf6Zh-cAhKlSM,Sejano,467,274,206,False,False,False,False
2412,MASTER,MflPASRHitb_TUDlVtJor8wyCWfr0KmowPYmwsRQwBjd,VK Caos,356,409,368,False,False,True,False
2413,MASTER,ID0_WRPdMAVPDCNTt-q4hjfVmwgtD_31syIQuxFlKsQjcA,Brucer,478,175,153,False,False,False,False
2414,MASTER,qDEzzySlfYZ-ewmQpnLbmBXlt2AjcKll67tyeJYSX9kCdw,ÂTEEZ,594,380,350,True,False,False,False
2415,MASTER,-V5VP6ASdpC8oeE7l_XDw4Ksc6oQ433ndRO1yMX9vcE1,iNnai,324,795,767,False,False,True,False
2416,MASTER,t_qCJRh0LsHnuv8Tb5JnKqTm5Yx_vpink1kbdNwQwzUB1Q,Hidden Player,334,564,498,False,False,True,False
