summonerName,accountId,summonerLevel,puuid
Naekuz,sHXxemA9yatUBGl1725moFhPptHIPCVoPYAhHwSLue_l,258,G1oKqXJc0UZPNXkNlUar7ptNiDWcGXZzzifeTAduOwekr_rNUpJiNl9B2FrVlzt1NmtKJG_VQpiHvA
tika1,tmooaasShvNZ5crTC8ChZrRVDq3Ezomz6S6QQUWmhhE5,160,PLm37LCfbQIpDmqNzm1de63HGiol8jIX7k8RwZHhYYR_ifMa8hmxV9xfGTSnTTzGoCQDmSSQzRsosQ
erva autopilot,0Ep_UOtdQDPfJwkxFTe9f777Be0xJ0vEQaihTGg7v7NwuuU,259,5ho9Gar_dmbfiDCYizTUuWfM0pe74brLsrPyowz6fV5fa3RAcdNCjRRazvle1QhJTBU62ZDQNpx0JQ
mottta,ZLHJDMcfMR9DejhbcrZRG-I3mLGlqwn16GCzBJEUHQdz,270,HKxWeUzuD-bddoHZw32Qd86wZCL63a_owOcjjKgmN4PQjqspBAefQBoSrrlM9CPNirFBuVqO6ozoUg
GLX Siylph,V30XEh5Jn2BGOTSq1QKpneGOI0acKmUoqRHfdEwr6cb2,299,R0ummm5RrMuqHVEm6Bm7VA8SKkXGWzICDDZFI-iWSCSurrBPntJgBdTcnvRcAII-bq-KEwvoCB1J7Q
Lehman Brothers,Azok_1yKBQ1y7ssDljyFtmaS5Uw_gXUsg1SdRn2cEFzA,389,SG0dQDb8eDJQBjQ9RDdVuznPA6qc4aSyWGfy29DctE002x-qDFF7YuwMFCnKa41OXS9uiyRSadBigQ
doguin caramelo,SJOBqXzGO2qHnzsPc4rLuTI_FfFVelf8xo-0J_lyyUG8tbE,322,fBMwHZhuitWIN91FA43Ft_DbsLCb-qAZQQ0iity9fs3cdLodeRaSy1R7ztxmgiMGTjBMMglK67eZZA
Meta Slave,jeIxdsCDX7wDwjQy9Qx-tpa8ej5abuvvb81017oRzOU,234,iB98mO83MqpiDgpC1tNoMfjVauUUWmhmSkanzyuNuJJD_n6gmG1j8DnTbH6CFHO0UHhzG8P7jrY4Ig
Lord1,R6_mRRbAx9a0YwB9QoKu2K3PR6S6uuYQM-hSGqL2m31R,294,ZLxbrRDIV2RP_H6Y5hHUunS7ZD2Fhw9AyAlE7AQ1pslsHRGbPDUVdWsEym2vLUSPNtUjQwtddU96Ug
ToySoldier,-4CsoEQGSnBqdjMhMfq2owljBMR5G8DUv_bezQQOdMyz,243,h4q9juHiRAjI_5qp1W0Pb3qEZgmgjZ-mK9ffre6Ohx_DwGicRd6abP_ue0VDosyes3LmSebPdGGeYg
Stalle Tenuous,wvjA593IRsksw9tmp_3gg4Op70omFskfJREwr4r24zTG,370,oxJhBzIakS-Qmt2S5GVlXKa9zinH650YemxdTBxyyIDtb6CzZnufC1YjZB8xl5rMvvcYynpjDYWhpA
Spohn,cYUHgZ05I4r5qhVcWS9YJ8whREmnTHY48jGGCXoTqD77QXw,343,umBGoCSlc0jrDMBzOS4xo8and45h_mBdoBi5hDrXRrS0Xln-7naZDjzmpNmBQ_3_vP8n4vMos7tBMw
celfisk,Z8Vn9y1kapmaHgF3PboneBSitevL0orTrpias5dopX26,444,fcXk_CFitPqD5smbxiEF27XfMzUmTZfGEe-2MNTiTF3o1lY-S8_c33wCoKRCIjoGNFC7yro0mk0JqA
Rekky,il6vhMOM4qDHZttHbQ7rH3EhMoJXO4-AanYBAsPrPPhj,206,X05FQLJKIRdgKNSD15XB4M-hFrzkiJS84OiP_9zDvZegers-82PuTpvPxWZD_38sDQv_tTNydtIQPA
uplaylikemonkey,2LWgH6qLMr83P6uaGwKs3EsVSBAxnVhCqMDbC49S5gRTlEc,227,YJ9GFIXb6s49HN_QQ_pORHI6Uu45s7ZvUbq--yrz9Pgfcf8ZVqtAqKawBz4RnvIEGda4_LUe8x_9aw
gabrielgamerlol,5bz-oaj_AfqTxPKFHdnIBDIbK49Bn50Pmep6OWgN5YizYBk,183,dANc9GVki_QUPVhzw74rRP5upVV-7CZvUGc-roMEFYrFssZ9hdTCvJ1ypCcecqYrenIyNAF9XuUdxA
Tuiu ZX,fE2mlAU7R_XO3AMjZxn9A03pnKhxOLfvIG9cyCEA4Ly-,291,lK1ef1n_bRG0DdfGbBJnLcifOS1PBnXO23-_F9MWNArNtZFB73y2jUzLe7k9xF9T87NO4BEerpioAQ
ATS Neyscau,309nsKcckx8rIro6K6tjlrKXiDQhUVPU6Gm5-PSkK4MB0iY,286,I0i4-b-Kj0AlUoba4UAv75DSLMwFzEuEZ7TGo3iTXI2bFP4ibsA0lENwpsJH_nVgPoyUnE_nKeT-AA
Himeros XIV,-mRLk-pmBd8YJZbuzU4GJ40DifF9X6LX6bj9wjn8P6d6iKc,210,8ggd-Mdm1CQSaKt-OAWhEAT7JK9JprU2Z1FFtZdWDL2jDY9su3y3J1_aJ7NSrN9ue4dyN0xDhC4tGw
GORILA 01,jjjf0SsFtrXndwybwPIpjHc8yLN8PYM6jmP2iHmz5HdyNTg,168,lYiwlsww-qQeQBEiZkyZq3sVzHWKfxAWcsX4_k1zNUjod2DCtmzwcB7rMGSXPWUNwyiInfmA1pWtBw
romance361,5cycZyLbs8SANRGEid2uu8tm7BBARW9YA4YW4_XWSKda,374,7eTLRC9S1pzrkzEXEvPVX81VVTRufL5DAQENBmN6fIFDd6K1-ZAUt0-aR-eqTlBcCqVR1iqGmxIRTg
Süb,ngBT3eggLIeLNDjg8nMue2rhXUzHTTJ5hVCPa7GitjLf,255,PYgCi4i2if07aHseJzL-fw7-4zDHwcLHuBsinyM1BF5UGKRWHGJhb7Wf0BFoCJ8NRf8Ry1TEPKQgPw
